codigo,bairro,categoria_principal,categoria_secundaria,qtde,ano,mês
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,2
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,5
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,5
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,1
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,8
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,4
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,12
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,4
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,5
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,5
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,3
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,12
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,1,2014,9
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,4
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,2
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,8
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2015,8
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,9
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,8
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,3
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,6
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,4
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2015,9
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2016,10
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,1
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2016,10
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,3
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,6
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2016,1
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,1
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,10
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,6
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,2
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,5
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,2
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,1
